"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Emergent Configurations in the Internet of Things as System of Systems","F. Alkhabbas; R. Spalazzese; P. Davidsson","Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden; Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden; Department of Computer Science and Media Technology, Malmö University, Malmö, Sweden","2017 IEEE/ACM Joint 5th International Workshop on Software Engineering for Systems-of-Systems and 11th Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems (JSOS)","29 Jun 2017","2017","","","70","71","Systems of Systems (SoS) and the Internet of Things (IoT) have many common characteristics. For example, their constituents are heterogeneous, often autonomous, and distributed. Moreover, both IoT systems and SoS achieve their intended goals by means of the dynamic collaboration and coordination among their constituents. In this paper, by using the notion of Emergent Configurations (ECs) as a means to engineer IoT systems, we show how ECs in the IoT can be regarded both as systems and SoS by exploiting two scenarios.","","978-1-5386-2799-0","10.1109/JSOS.2017.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961697","Internet of Things;Emergent Configurations;System of Systems","Electronic countermeasures;Internet of Things;System of systems;Media;Temperature sensors;Collaboration","","5","","8","IEEE","29 Jun 2017","","","IEEE","IEEE Conferences"
"Automated and Secure Onboarding for System of Systems","S. Maksuti; A. Bicaku; M. Zsilak; I. Ivkic; B. Péceli; G. Singler; K. Kovács; M. Tauber; J. Delsing","Cloud and Cyber-Physical Systems Security, University of Applied Sciences Burgenland, Eisenstadt, Austria; Cloud and Cyber-Physical Systems Security, University of Applied Sciences Burgenland, Eisenstadt, Austria; Cloud and Cyber-Physical Systems Security, University of Applied Sciences Burgenland, Eisenstadt, Austria; Cloud and Cyber-Physical Systems Security, University of Applied Sciences Burgenland, Eisenstadt, Austria; evopro Innovation Ltd., Budapest, Hungary; evopro Innovation Ltd., Budapest, Hungary; evopro Innovation Ltd., Budapest, Hungary; Cloud and Cyber-Physical Systems Security, University of Applied Sciences Burgenland, Eisenstadt, Austria; Department of Computer Science, Electrical and Space Engineering, Luleå University of Technology, Luleå, Sweden",IEEE Access,"12 Aug 2021","2021","9","","111095","111113","The Internet of Things (IoT) is rapidly changing the number of connected devices and the way they interact with each other. This increases the need for an automated and secure onboarding procedure for IoT devices, systems and services. Device manufacturers are entering the market with internet connected devices, ranging from small sensors to production devices, which are subject of security threats specific to IoT. The onboarding procedure is required to introduce a new device in a System of Systems (SoS) without compromising the already onboarded devices and the underlying infrastructure. Onboarding is the process of providing access to the network and registering the components for the first time in an IoT/SoS framework, thus creating a chain of trust from the hardware device to its hosted software systems and their provided services. The large number and diversity of device hardware, software systems and running services raises the challenge to establish a generic onboarding procedure. In this paper, we present an automated and secure onboarding procedure for SoS. We have implemented the onboarding procedure in the Eclipse Arrowhead framework. However, it can be easily adapted for other IoT/SoS frameworks that are based on Service-oriented Architecture (SoA) principles. The automated onboarding procedure ensures a secure and trusted communication between the new IoT devices and the Eclipse Arrowhead framework. We show its application in a smart charging use case and perform a security assessment.","2169-3536","","10.1109/ACCESS.2021.3102280","European Union (EU) Electronic Components and Systems for European Leadership (ECSEL) Joint Undertaking(grant numbers:737459); Productive4.0 Project(grant numbers:826452); Arrowhead Tools project; Investitionen in Wachstum und Beschäftigung–Europäischer Fonds für regionale Entwicklung (IWB-EFRE) (2014-2020), Measurement of IT-Security in Industry (MIT) 4.0 (FE02) Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9505607","Internet of Things;System of Systems;Service-oriented Architecture;secure onboarding","Security;Internet of Things;System of systems;Performance evaluation;Protocols;Hardware;Computer architecture","","10","","52","CCBY","3 Aug 2021","","","IEEE","IEEE Journals"
"Enhancing Future Classroom Environments Based on Systems of Systems and the Internet of Anything","R. de Amorim Silva; R. T. V. Braga","Center of Excellence for Social Technologies (NEES), Computing Institute, Federal University of Alagoas, Maceió, Brazil; Institute of Mathematics and Computational Sciences, University of São Paulo, São Carlos, Brazil",IEEE Internet of Things Journal,"9 Oct 2020","2020","7","10","10475","10482","Currently, research centers, government, and industry have been developing technologies to enable novel capabilities for future classrooms. The Internet of Things (IoT), the Internet of Everything (IoE), and the Internet of Anything (IoA) are examples of technological paradigms that could transform current classrooms into collaborative classrooms. In this article, we investigate the design and simulation of a systems architecture that employs concepts related to System of Systems (SoS) and IoA to extend the capabilities of future classrooms. We design such architecture to be service oriented and to provide interactions between each established constituent system (CS), which is composed by the following elements: 1) local IoE modules; 2) CS negotiator agent; and 3) IoE/IoA agent. We consider a case study about interschool collaborations to improve learning in biology classes. Our results indicate that the usage of the IoA network improves on 52.02% the performance of the IoE network, it improves the recommendation of services by establishing a high competition between CSs, and quadruplicates the number of connections in this SoS network. These results suggest that such approach is effective to increase the collaboration between devices, people, or schools with different objectives and policies.","2327-4662","","10.1109/JIOT.2020.2995843","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, Brazil (Finance Code 001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097280","Computer-supported collaborative learning;Internet of Anything (IoA);Internet of Everything (IoE) ecosystems;Internet of Things (IoT);System of Systems (SoS)","Ecosystems;Internet of Things;Collaboration;Computer architecture;Education;Logic gates","","6","","12","IEEE","20 May 2020","","","IEEE","IEEE Journals"
"Networking and Computing in Internet of Things and Cyber-Physical Systems","K. Khujamatov; E. Reypnazarov; D. Khasanov; N. Akhmedov","Department of ""Data communication networks and systems"", Tashkent University of Information Technologies named after Muhammad al-Khwarizmi, Tashkent, Uzbekistan; Department of ""Data communication networks and systems"", Tashkent University of Information Technologies named after Muhammad al-Khwarizmi, Tashkent, Uzbekistan; Department of ""Data communication networks and systems"", Tashkent University of Information Technologies named after Muhammad al-Khwarizmi, Tashkent, Uzbekistan; Department of ""Data communication networks and systems"", Tashkent University of Information Technologies named after Muhammad al-Khwarizmi, Tashkent, Uzbekistan",2020 IEEE 14th International Conference on Application of Information and Communication Technologies (AICT),"9 Mar 2021","2020","","","1","6","Article discusses the issue of building the Internet of things and cyber-physical systems networks, as well as data processing in these systems. Initially, a comparative analysis of the concept of the Internet of things and cyber-physical systems were conducted. Then various network construction technologies are provided, including wired and wireless short-range technologies, solutions based on M2M, LPWAN, NB-IoT and 5G, as well as scientific and analytical data on cloud, fog, edge computing methods of data processing in these systems.","2472-8586","978-1-7281-7386-3","10.1109/AICT50176.2020.9368793","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9368793","Computing;Communication;Cyber-Physical Systems;Integration;Internet of Things;Networking;Smart Environments","Cloud computing;5G mobile communication;Buildings;Cyber-physical systems;Data processing;Internet of Things;Edge computing","","31","","16","IEEE","9 Mar 2021","","","IEEE","IEEE Conferences"
"Internet of Things as System of Systems: A Review of Methodologies, Frameworks, Platforms, and Tools","G. Fortino; C. Savaglio; G. Spezzano; M. Zhou","Department of Computer Science, Modeling, Electronics and Systems Engineering (DIMES), University of Calabria, Rende, Italy; National Research Council, Institute for High Performance Computing and Networking (ICAR), Rende, Italy; National Research Council, Institute for High Performance Computing and Networking (ICAR), Rende, Italy; Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA","IEEE Transactions on Systems, Man, and Cybernetics: Systems","12 Jan 2021","2021","51","1","223","236","The Internet of Things (IoT) is the latest example of the System of Systems (SoS), demanding for both innovative and evolutionary approaches to tame its multifaceted aspects. Over the years, different IoT methodologies, frameworks, platforms, and tools have been proposed by industry and academia, but the jumbled abundance of such development products have resulted into a high (and disheartening) entry-barrier to IoT system engineering. In this survey, we steer IoT developers by: 1) providing baseline definitions to identify the most suitable class of development products-methodologies, frameworks, platforms, and tools-for their purposes and 2) reviewing seventy relevant products through a comparative and practical approach, based on general SoS engineering features revised in the light of main IoT systems desiderata (i.e., interoperability, scalability, smartness, and autonomy). Indeed, we aim to lessen the confusion related to IoT methodologies, frameworks, platforms, and tools as well as to freeze their current state, for eventually easing the approach towards IoT system engineering.","2168-2232","","10.1109/TSMC.2020.3042898","Italian MIUR; PRIN 2017 Project “Fluidware”(grant numbers:CUP H24I17000070001); “COGITO—Sistema dinamico e cognitivo per consentire agli edifici di apprendere ed adattarsi” Project; Italian Government(grant numbers:ARS01 00836); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9306923","Internet of Things (IoT);IoT framework;IoT methodology;IoT platform;IoT tool;system of systems","Systems engineering and theory;Tools;Internet of Things;Scalability;Interoperability;System of systems;Complex systems","","192","","123","IEEE","24 Dec 2020","","","IEEE","IEEE Journals"
"System of Systems Engineering Approach for Complex Deterministic and Nondeterministic Systems (ACDANS)","P. Hershey","Raytheon Technologies, Dulles, VA, USA",2021 16th International Conference of System of Systems Engineering (SoSE),"30 Jul 2021","2021","","","185","190","As new commercial and military systems evolve, engineers face significant challenges that require solutions beyond traditional systems engineering. For example, military commanders recognize that in order to confront threats from high-tech adversaries, an advanced system of systems (SoS) is required to coordinate combat across multiple battlefield domains: land, sea, air, space, and cyberspace. System of Systems Engineering (SoSE), along with associated Modeling and Simulation (M&S) tools, can fill some of this need, especially for operational decision-support for complex multi-domain environments. This paper presents an M&S-based SoSE approach for complex SoS composed of deterministic and non-deterministic subsystems supported with reinforcement learning. The paper presents this new methodology, use cases, and preliminary results that address specific SoS challenges for a set of complex decision-support challenges.","","978-1-6654-4454-5","10.1109/SOSE52739.2021.9497496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9497496","Modeling and Simulation;Complexity;System of Systems;Deterministic / Nondeterministic;Multi-Domain;Machine Learning;Reinforcement Learning","Atmospheric modeling;Face recognition;Military systems;Cyberspace;Reinforcement learning;Tools;System of systems","","","","20","IEEE","30 Jul 2021","","","IEEE","IEEE Conferences"
"A system of systems engineering perspective on IoT trustworthiness","F. Coallier","Department of Software and IT Engineering, École de technologie supérieure, Montréal, Canada",2018 13th Annual Conference on System of Systems Engineering (SoSE),"9 Aug 2018","2018","","","89","91","The Internet of Things essentially refers to a distributed system consisting of interconnected objects and computing resources that provide services to human or other systems. Systems of this nature already are embedded in Systems of Systems (SoS) like smart factories and smart cities. This paper explores succinctly the concept of trustworthiness and how it can be applied to IoT systems and systems of systems.","","978-1-5386-4876-6","10.1109/SYSOSE.2018.8428757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8428757","IoT;trustworthiness;systems of systems;systems of systems engineering","Internet of Things;Reliability;System of systems;Safety;Security;Smart manufacturing","","5","","10","IEEE","9 Aug 2018","","","IEEE","IEEE Conferences"
"Towards the Adoption of Cyber-Physical Systems of Systems Paradigm in Smart Manufacturing Environments","B. R. Ferrer; W. M. Mohammed; J. L. Martínez Lastra; A. Villalonga; G. Beruvides; F. Castaño; R. E. Haber","FAST-Lab, Laboratory of Automation and Hydraulics, Tampere University of Technology, Tampere, Finland; FAST-Lab, Laboratory of Automation and Hydraulics, Tampere University of Technology, Tampere, Finland; FAST-Lab, Laboratory of Automation and Hydraulics, Tampere University of Technology, Tampere, Finland; University of Matanzas (UM), Matanzas, Cuba; Centre for Automation and Robotics (CAR-CSIC), Madrid, Spain; Centre for Automation and Robotics (CAR-CSIC), Madrid, Spain; Centre for Automation and Robotics (CAR-CSIC), Madrid, Spain",2018 IEEE 16th International Conference on Industrial Informatics (INDIN),"27 Sep 2018","2018","","","792","799","Cyber-physical Systems (CPS) in industrial manufacturing facilities demand a continuous interaction with different and a large amount of distributed and networked computing nodes, devices and human operators. These systems are critical to ensure the quality of production and the safety of persons working at the shop floor level. Furthermore, this situation is similar in other domains, such as logistics that, in turn, are connected and affect the overall production efficiency. In this context, this article presents some key steps for integrating three pillars of CPS (production line, logistics and facilities) into the current smart manufacturing environments in order to adopt an industrial Cyber-Physical Systems of Systems (CPSoS) paradigm. The approach is focused on the integration in several digital functionalities in a cloud-based platform to allow a real time multiple devices interaction, data analytics/sharing and machine learning-based global reconfiguration to increase the management and optimization capabilities for increasing the quality of facility services, safety and energy efficiency and industrial productivity. Conceptually, isolated systems may enhance their capabilities by accessing to information of other systems. The approach introduces particular vision, main components, potential and challenges of the envisioned CPSoS. In addition, the description of one scenario for realizing the CPSoS vision is presented. The results herein presented will pave the way for the adoption of CPSoS that can be used as a pilot for further research on this emerging topic.","2378-363X","978-1-5386-4829-2","10.1109/INDIN.2018.8472061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8472061","Industry 4.0;Cyber-Physical Systems;System of Systems;Cyber-Physical Systems of Systems;Smart Manufacturing","Industries;Cyber-physical systems;Ecosystems;Smart manufacturing;Logistics;Real-time systems","","20","","57","IEEE","27 Sep 2018","","","IEEE","IEEE Conferences"
"Models composition in FORM-L: Study of complex socio-cyber-physical systems and large scale systems of systems","T. Nguyen","EDF R&D, Chatou, France",2016 11th System of Systems Engineering Conference (SoSE),"15 Aug 2016","2016","","","1","6","This paper presents a constraints modelling language named FORM-L (for FOrmal Requirements Modelling Language) and an associated modelling and analysis methodology that has been developed in the framework of the ITEA2 project MODRIO (MOdel DRIven system design and Operation). The objective is to support all the phases of the engineering lifecycle (prospective studies, development and operation) of complex socio-cyber-physical systems (SCPSs) such as a large power plant, and large scale systems of systems (SoSs) such as a national or continental power grid.","","978-1-4673-8727-9","10.1109/SYSOSE.2016.7542916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7542916","Requirements & Assumptions Modelling;Systems of Systems;Socio-Cyber-Physical Systems;Systems Engineering;Prospective Studies;Design Verification;Requirements Engineering;Massive Simulation","Contracts;Analytical models;Biological system modeling;Computational modeling;Large-scale systems","","1","","8","IEEE","15 Aug 2016","","","IEEE","IEEE Conferences"
"Autoencoder Alignment Approach to Run-Time Interoperability for System of Systems Engineering","J. Nilsson; J. Delsing; F. Sandin","EISLAB, Luleå University of Technology, 971 87 Luleå, Sweden; EISLAB, Luleå University of Technology, 971 87 Luleå, Sweden; EISLAB, Luleå University of Technology, 971 87 Luleå, Sweden",2020 IEEE 24th International Conference on Intelligent Engineering Systems (INES),"27 Jul 2020","2020","","","139","144","We formulate the challenging problem to establish information interoperability within a system of systems (SoS) as a machine-learning task, where autoencoder embeddings are aligned using message data and metadata to automate message translation. An SoS requires communication and collaboration between otherwise independently operating systems, which are subject to different standards, changing conditions, and hidden assumptions. Thus, interoperability approaches that are based on standardization and symbolic inference will have limited generalization and scalability in the SoS engineering domain. We present simulation experiments performed with message data generated using heating and ventilation system simulations. While the unsupervised learning approach proposed here remains unsolved in general, we obtained up to 75% translation accuracy with autoencoders aligned by back-translation after investigating seven different models with different training protocols and hyperparameters. For comparison, we obtain 100% translation accuracy on the same task with supervised learning, but the need for a labeled dataset makes that approach less interesting. We discuss possibilities to extend the proposed unsupervised learning approach to reach higher translation accuracy.","1543-9259","978-1-7281-1059-2","10.1109/INES49302.2020.9147168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9147168","Adapter design pattern;Autoencoder alignment;Embeddings;M2M-Communication;System of systems","Modeling;Heating systems;Interoperability;Decoding;Training;System of systems;Temperature sensors","","3","","32","IEEE","27 Jul 2020","","","IEEE","IEEE Conferences"
