title,abstract,authors,year,venue,doi,source,citation_count
Resilience Framework for Power Electronic Systems Against Cyber-Physical Attacks: A Review,"This paper presents a systematic overview of the resilience framework for power electronics converter-based cyber-physical systems (CPSs), emphasizing end-to-end responses to the emerging challenges posed by cyber-physical attacks. While recent advancements in control and communication have enhanced the functionalities of power electronic converters in applications such as electric vehicles and smart grids, such advancements have also introduced new vulnerabilities, particularly to cyber-physical attacks. The existing literature tends to focus on isolated research areas, and a comprehensive review that encompasses strategies applicable before, during, and after an attack remains lacking. To address this gap, this paper categorizes state-of-the-art research into four key stages of an attack: anticipate and prepare, resist and absorb, detect and evaluate, and recover. Topics reviewed in this paper include converter and cyber-physical attack modeling, converter-based CPS testbeds, system hardening at the cyber and physical layers, attack detection, post-attack evaluation, and recovery strategies. Real-world case studies and practical regulations are also analyzed. Additionally, challenges and opportunities of the resilience framework are discussed. Despite notable advancements in modeling and identifying cyber-physical attacks, considerable efforts are still required to improve attack mitigation strategies and recovery mechanisms.","Chang Liu, Jin Ye, Gaoliang Fang, Di Wang, Linke Zhou, A. Emadi",2025.0,IEEE Open Journal of Power Electronics,10.1109/ojpel.2024.3512452,Semantic Scholar,0.0
Adaptive industrial IOT/CPS messaging strategies for improved edge compute utility,Messaging strategies for data transport play a central role in large scale IIoT/CPS systems. Research to date in these domains has focused on comparative studies of different messaging protocols and various congestion control techniques. This paper presents an experimental evaluation of the latency and throughput for different message payload strategies using the same protocol combined with a novel congestion control algorithm. The results provide key insights based on experiments carried out in a real-world IOT wireless sensor network deployment. The approach presented dynamically varies the message schema and sizes in response to the utilization of edge nodes. The goal is to achieve the highest possible data throughput that fits within the available edge based compute capacity without requiring auto-scaling of back end cloud resources.,"Michael Nolan, M. Mcgrath, Marcin Spoczynski, Dáire Healy",2019.0,IoT-Fog@IoTDI,10.1145/3313150.3313220,Semantic Scholar,4.0
Enhancing healthcare IoT (H-IoT) resilience: A comprehensive review,"The Internet of Things (IoT) applications are evolving from general applications to precise use cases across various industries, including healthcare, automation, military, maritime, smart cities, transportation, and logistics. In the healthcare sector, IoT-based applications have significantly improved patient assessment, monitoring, and prescription systems with seamless internet-based access. Despite these benefits, IoT applications introduce critical security challenges due to their wireless communication and open-area deployment. Patient wearable devices and other networked entities follow unstructured communication formats, making them highly susceptible to security breaches.
Given the critical nature of healthcare data, secure communication infrastructures are essential for data acquisition, processing, storage, and assessment on both client and remote systems. Security remains one of the major obstacles preventing widespread IoT adoption in healthcare. This paper presents a comprehensive review of security constraints in H-IoT, analyzing the unresolved security issues from 2015 to 2023. Based on existing literature, we identify key security requirements and challenges in H-IoT applications and propose future research directions to improve security frameworks for researchers and industry stakeholders.","KAYODE BISOLA, Nathalie Essi Afefa Takpah, OMOTAYO ADELEKE, Victor Nosakhare Oriakhi",2025.0,Open Access Research Journal of Engineering and Technology,10.53022/oarjet.2025.8.1.0033,Semantic Scholar,0.0
Cyber Resilience Approaches for Cyber Physical Systems,"Cyber-physical systems (CPS) integrate physical processes with computing, communication, and control systems to increase efficiency, reliability, and safety. However, these systems are also vulnerable to cyber attacks, which could have severe consequences, such as loss of life, property damage, and economic disruption. To ensure the safety and security of modern society, it is crucial to ensure that CPS are cyber- resilient, meaning they can continue to function and recover from cyber attacks. This requires a multi-faceted approach that includes secure design, risk assessment, monitoring and response, redundancy and backup, and training and education. By implementing these strategies, organizations can improve the cyber resilience of their CPS, reducing the risk of cyber attacks and promoting the safety and security of modern society.","Manjunath D, Dr M N Nachappa",2024.0,"International Journal of Advanced Research in Science, Communication and Technology",10.48175/ijarsct-15952,Semantic Scholar,4.0
Compound Compression Method for Gathering Traffic of IoT/CPS Data,"These days, many kinds of sensors are connected to the Internet. They measure the real world from multiple aspects, and the measured data is used to optimize commercial activity and social infrastructure. This trend is called IoT/CPS, which stands for Internet of Things and Cyber Physical Systems. The data are divided into two types: ""heavy data"" such as multimedia data and ""light data"" such as numerical values and strings. Demand exists to gather light data to data centers; however, traffic volume becomes a challenge.In this paper, we propose an efficient compression method targeting light data. The proposed method utilizes the structure of light data, which have ""constant,"" ""variable,"" and ""timestamp"" fields, to create an efficient dictionary of symbols and perform column-based compression. By evaluating multiple kinds of light data sources, the proposed method can improve the compression ratio by 24% compared with a zip (Deflate) compression and achieve traffic reduction.","Kazuhito Matsuda, M. Kubota",2019.0,World Forum on Internet of Things,10.1109/WF-IoT.2019.8767326,Semantic Scholar,1.0
A Provably Secure Mobile User Authentication Scheme for Big Data Collection in IoT-Enabled Maritime Intelligent Transportation System,"The emergence of contemporary technologies like cloud computing and the Internet of Things (IoT) has revolutionized the trends in the cyber world to serve humanity. There are plenty of applications in which they are being used, especially in smart cities and their constituents, Maritime Transportation System (MTS) is one of them. The IoT-enabled MTS has the potential to entertain the growing challenges of modern-day ship transportation. Secure real-time data access from numerous smart IoT devices is the most critical and crucial exercise for Big Data acquisition in IoT-enabled MTS. Therefore, we have developed a Physically Unclonable Function (PUF) based authenticated key agreement solution to deal with this challenge. This solution enables the mobile user and IoT node to mutually authenticate each other via Cloud-Gateway before real-time data exchange and transmission in IoT-enabled MTS. The use of PUF in our solution brings invincibility against physical security threats. An inclusive security analysis under the assumption of the specified threat model is carried out to substantiate the security resilience of our solution. The conduct of our solution is realized through security features, communication, and computation cost and It has been observed that our solution achieves efficiency of 37.3% and 9.7% in communication and computation overhead, respectively. Moreover, the network performance effectiveness of our solution is demonstrated in NS3 implementation.","Khalid Mahmood, Javed Ferzund, Muhammad Asad Saleem, Salman Shamshad, A. Das, Youngho Park",2023.0,IEEE transactions on intelligent transportation systems (Print),10.1109/TITS.2022.3177692,Semantic Scholar,26.0
Toward Detection and Attribution of Cyber-Attacks in IoT-Enabled Cyber–Physical Systems,,"Amir Namavar Jahromi, H. Karimipour, A. Dehghantanha, K. Choo",2021.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3067667,Semantic Scholar,66.0
Next-gen security in IIoT: integrating intrusion detection systems with machine learning for industry 4.0 resilience,"In the dynamic landscape of Industry 4.0, characterized by the integration of smart technologies and the industrial internet of things (IIoT), ensuring robust security measures is imperative. This paper explores advanced security solutions tailored for the IIoT, focusing on the integration of intrusion detection systems (IDS) with advanced machine learning (ML) and deep learning (DL) techniques. In this paper, we present a novel intrusion detection model to fortify to fortify Industry 4.0 systems against evolving cyber threats by leveraging ML an DL algorithms for dynamic adaptation. To evaluate the performances and effectiveness of our proposed model, we use the improved Coburg intrusion detection data sets (CIDDS) and BoT-IoT datasets, showcasing notable performance attributes with an exceptional 99.99% accuracy, high recall, and precision scores. The model demonstrates computational efficiency, with rapid learning and detection phases. This research contributes to advancing next-gen security solutions for Industry 4.0, offering a promising approach to tackle contemporary cyber.","Lahcen Idouglid, Said Tkatek, Khalid Elfayq, Azidine Guezzaz",2024.0,International Journal of Electrical and Computer Engineering (IJECE),10.11591/ijece.v14i3.pp3512-3521,Semantic Scholar,6.0
Resilience analysis of cyber‐physical systems: A review of models and methods,"Cyber‐physical systems (CPSs) are monitored and controlled by a computing and communicating core. This cyber layer enables better management of the controlled subsystem, but it also introduces threats to the security and protection of CPSs, as demonstrated by recent cyberattacks. The resulting governance and policy emphasis on cybersecurity is reflected in the academia by a vast body of literature. In this article, we systematize existing knowledge on CPS analysis. Specifically, we focus on the quantitative assessment of CPSs before and after the occurrence of a disruption. Through the systematic analysis of the models and methods adopted in the literature, we develop a CPS resilience assessment framework consisting of three steps, namely, (1) CPS description, (2) disruption scenario identification, and (3) resilience strategy selection. For each step of the framework, we suggest established methods for CPS analysis and suggest four criteria for method selection. The framework proposes a standardized workflow to assess the resilience of CPSs before and after the occurrence of a disruption. The application of the proposed framework is exemplified with reference to a power substation and associated communication network.The case study shows that the proposed framework supports resilience decision making by quantifying the effects of the implementation of resilience strategies.","B. Cassottana, Muhammad M. Roomi, D. Mashima, G. Sansavini",2023.0,Risk Analysis,10.1111/risa.14089,Semantic Scholar,20.0
Hash-MAC-DSDV: Mutual Authentication for Intelligent IoT-Based Cyber–Physical Systems,"Cyber–physical systems (CPS) connected in the form of Internet of Things (IoT) are vulnerable to various security threats, due to the infrastructure-less deployment of IoT devices. Device-to-Device (D2D) authentication of these networks ensures the integrity, authenticity, and confidentiality of information in the deployed area. The literature suggests different approaches to address security issues in CPS technologies. However, they are mostly based on centralized techniques or specific system deployments with a higher cost of computation and communication. It is therefore necessary to develop an effective scheme that can resolve the security problems in CPS technologies of IoT devices. In this article, a lightweight hash media access control destination sequence distance vector (Hash-MAC-DSDV) routing scheme is proposed to resolve authentication issues in CPS technologies, connected in the form of IoT networks. For this purpose, a CPS of IoT devices (multi-WSNs) is developed from the local chain and public chain, respectively. The proposed scheme ensures D2D authentication by the Hash-MAC-DSDV mutual scheme, where the MAC addresses of individual devices are registered in the first phase and advertised in the network in the second phase. The proposed scheme allows legitimate devices to modify their routing table and unicast the one-way hash authentication mechanism to transfer their captured data from the source toward the destination. Our evaluation results demonstrate that Hash-MAC-DSDV outweighs the existing schemes in terms of attack detection, energy consumption, and communication metrics.","M. Adil, M. Jan, Spyridon Mastorakis, H. Song, Muhammad Mohsin Jadoon, Safia Abbas, A. Farouk",2021.0,IEEE Internet of Things Journal,10.1109/JIOT.2021.3083731,Semantic Scholar,44.0
