title,authors,year,venue,doi,abstract,keywords,citation_count,source
"An Overview of Cyber Physical System (CPS) Security, Threats, and Solutions","Krishna Keerthi Chennam, Fahmina Taranum, Maniza Hijab",2022.0,Convergence of Deep Learning In Cyber‐IoT Systems and Security,10.1002/9781119857686.ch20,,,,CrossRef
"CIA‐CPS: Concept, Issues, and Application of IoT in Cyber Physical System","Gaurav Jolly, Rahul Johari",2022.0,Trust‐Based Communication Systems for Internet of Things Applications,10.1002/9781119896746.ch5,,,,CrossRef
Blockchain-Empowered H-CPS Architecture for Smart Agriculture.,"Xiaoding Wang, Qibin Wu, Haitao Zeng, Xu Yang, Hui Cui, Xun Yi, Md. Jalil Piran, Ming Luo, Youxiong Que",2025.0,Advancement of science,10.1002/advs.202503102,"This study integrates blockchain technology into smart agriculture to enhance its productivity and sustainability. By combining blockchain with remote sensing, artificial intelligence (AI), and the Internet of Things (IoT), a Human-Cyber-Physical System (H-CPS) architecture tailored for agricultural applications is proposed. It supports real-time crop management, data-driven decision-making, and transparent trading of agricultural products. A semantic-based blockchain framework is introduced to address challenges in data management and AI model integration, optimizing production, improving traceability, reducing costs, and enhancing financial security. This framework directly addresses real-world agricultural challenges, such as optimized irrigation, improved crop breeding efficiency, and enhanced supply chain transparency. These innovations provide practical solutions for modern agriculture, contributing to sustainable development and global food security. Further research and collaboration are encouraged to unlock its full potential in transforming agricultural practices.",,0.0,Semantic Scholar
Machine Learning Techniques for IoT Intrusions Detection in Aerospace Cyber-Physical Systems,Yassine Maleh,2019.0,Studies in Computational Intelligence,10.1007/978-3-030-20212-5_11,,,22.0,Semantic Scholar
Wearable Devices and IoT,"T. Poongodi, Rajalakshmi Krishnamurthi, R. Indrakumari, P. Suresh, Balamurugan Balusamy",2020.0,Intelligent Systems Reference Library,10.1007/978-3-030-23983-1_10,,,,CrossRef
The Internet of Things and Its Applications in Cyber Security,"Rohit Sharma, Rajendra Prasad Mahapatra, Naresh Sharma",2020.0,Intelligent Systems Reference Library,10.1007/978-3-030-23983-1_4,,,,CrossRef
Security Challenges for Designing Wearable and IoT Solutions,"Devender Bhushan, Rashmi Agrawal",2020.0,Intelligent Systems Reference Library,10.1007/978-3-030-23983-1_5,,,,CrossRef
Network Security and Privacy Evaluation Scheme for Cyber Physical Systems (CPS),"Mridula Sharma, H. Elmiligi, F. Gebali",2020.0,Handbook of Big Data Privacy,10.1007/978-3-030-38557-6_9,,,5.0,Semantic Scholar
Real-Time IoT-Based Production Planning and Control of Industrial Robots in an Automated Cyber-Physical Production System Under Dynamic Conditions: Lessons Learned from a Make-to-Order Usage Case,"J. Berlak, J. Berg, M. Stangl, Luciano Baumgart",2019.0,International Conference/Workshop on Computer Aided Systems Theory,10.1007/978-3-030-45096-0_59,,,2.0,Semantic Scholar
From Bounded Reachability Analysis of Linear Hybrid Automata to Verification of Industrial CPS and IoT,"Lei Bu, Jiawan Wang, Yuming Wu, Xuandong Li",2019.0,International School on Engineering Trustworthy Software Systems,10.1007/978-3-030-55089-9_2,,,5.0,Semantic Scholar
IoT Based Telemedicine System,"L. K. Hema, Rajat Kumar Dwibedi, R. Karthikeyan, V. Vanitha",2021.0,Intelligent Systems Reference Library,10.1007/978-3-030-57835-0_17,,,,CrossRef
Embedded System Design,Peter Marwedel,2021.0,Embedded Systems,10.1007/978-3-030-60910-8,,,,CrossRef
Embedded System Hardware,Peter Marwedel,2021.0,Embedded Systems,10.1007/978-3-030-60910-8_3,"<jats:title>Abstract</jats:title><jats:p>In this chapter, we will present the interface between the physical environment and information processing (the <jats:bold>cyphy-interface</jats:bold>) together with the hardware required for processing, storing, and communicating information. Due to considering CPS, covering the cyphy-interface is indispensable. The need to cover other hardware components as well is a consequence of their impact on the performance, timing characteristics, power consumption, safety, and security.</jats:p>",,,CrossRef
